district,DEM_Candidate,DEM_Total,DEM_Party,REP_Candidate,REP_Total,REP_Party,overspend,district_total
35,Rishi Bagga,93475.30000000002,0.0,Fred Hawkins,476782.61000000004,150255.16,383307.31000000006,570257.91
42,Anna-V Eskamani,357159.2700000003,0.0,Bonnie Jackson,87329.81000000001,18763.51,269829.4600000003,444489.0800000003
29,Rick Karl,74380.91,0.0,Webster Barnaby,308007.74,47812.68,233626.83,382388.65
83,,0.0,0.0,Kaylee Tuck,103361.17000000001,75.12,103361.17000000001,103361.17000000001
75,,0.0,0.0,Michael Grant,94600.16,100.16,94600.16,94600.16
36,Deborah Poulalion,46002.05,0.0,Rachel Plakon,425795.18,100243.39000000001,379793.13,471797.23
101,Hillary Cassel,367815.17000000004,0.0,Guy Silla,24500.0,0.0,343315.17000000004,392315.17000000004
5,,0.0,0.0,Shane Abbott,419665.69,0.0,419665.69,419665.69
57,,0.0,0.0,Adam Anderson,178975.0,0.0,178975.0,178975.0
49,,0.0,0.0,Melony Bell,127433.36,87.64,127433.36,127433.36
87,Sienna Osta,8907.34,0.0,Mike Caruso,323150.16000000003,60475.16,314242.82,332057.50000000006
22,Brandon Peters,208932.39000000004,0.0,Chuck Clemons,409091.85,105400.16,200159.45999999993,618024.24
25,,0.0,0.0,Taylor Yarkosky,281840.99,10274.23,281840.99,281840.99
16,,0.0,0.0,Kiyan Michael,76253.84,10358.140000000001,76253.84,76253.84
96,Dan Daley,190286.02000000002,2.0,Jenna Hague,62244.08,0.0,128041.94000000002,252530.10000000003
18,,0.0,0.0,Cyndi Stevenson,99455.37000000001,100.16,99455.37000000001,99455.37000000001
19,Adam Morley,10314.359999999999,0.0,Paul Renner,271714.83999999997,38700.54,261400.47999999998,282029.19999999995
3,,0.0,0.0,Joel Rudman,248324.26,10000.0,248324.26,248324.26
76,,0.0,0.0,Spencer Roach,129342.40999999999,87.64,129342.40999999999,129342.40999999999
43,Johanna Lopez,57869.16,0.0,Christopher Wright,9617.05,0.0,48252.11,67486.21
100,Linda-Thompson Gonzalez,102336.55000000002,0.0,Chip LaMarca,667037.1199999998,149567.14,564700.5699999997,769373.6699999998
68,Lorissa Wright,13125.32,0.0,Lawrence McClure,245577.22,154.23000000000002,232451.9,258702.54
109,Ashley-V Gantt,136830.09999999998,0.0,,0.0,0.0,136830.09999999998,136830.09999999998
66,David Tillery,17865.0,0.0,Traci Koster,233360.09000000003,0.0,215495.09000000003,251225.09000000003
63,Dianne-Ms-Dee Hart,43342.25,0.0,,0.0,0.0,43342.25,43342.25
28,John-Clifford Navarra,9723.489999999998,0.0,Tom Leek,417610.97,113275.12,407887.48,427334.45999999996
95,Christine Hunschofsky,94647.20000000001,2.0,,0.0,0.0,94647.20000000001,94647.20000000001
37,Carlos-Guillermo Smith,432878.28999999963,89220.94,Susan Plasencia,263087.39999999985,146586.7,169790.88999999978,695965.6899999995
74,,0.0,0.0,James Buchanan,83065.16,75.12,83065.16,83065.16
9,Allison Tant,403238.22000000003,9407.45,,0.0,0.0,403238.22000000003,403238.22000000003
85,Curtis-J Tucker,9801.21,0.0,Toby Overdorf,240267.74000000002,19800.16,230466.53000000003,250068.95
7,,0.0,0.0,Jason Shoaf,139171.44,62.6,139171.44,139171.44
116,,0.0,0.0,Daniel-A Perez,115802.06,166.75,115802.06,115802.06
10,,0.0,0.0,Chuck Brannan,54677.68,0.0,54677.68,54677.68
56,,0.0,0.0,Brad Yeager,180560.0,0.0,180560.0,180560.0
4,,0.0,0.0,Patt Maney,66523.17,75.12,66523.17,66523.17
89,David Silvers,102295.0,2.0,Daniel-Judiel Zapata,37791.0,0.0,64504.0,140086.0
80,Mitchel Schlayer,2188.36,0.0,Adam Botana,173479.08000000002,100.16,171290.72000000003,175667.44
59,Dawn Douglas,2820.0,0.0,Berny Jacques,251561.01999999996,10358.140000000001,248741.01999999996,254381.01999999996
48,,0.0,0.0,Sam Killebrew,31087.64,87.64,31087.64,31087.64
107,Christopher Benjamin,79145.37,0.0,,0.0,0.0,79145.37,79145.37
30,,0.0,0.0,Chase Tramont,243524.72,10331.26,243524.72,243524.72
79,,0.0,0.0,Mike Giallombardo,108063.17000000001,75.12,108063.17000000001,108063.17000000001
108,Dotie Joseph,137398.59999999998,0.0,,0.0,0.0,137398.59999999998,137398.59999999998
111,,0.0,0.0,David Borrero,152123.64,87.64,152123.64,152123.64
6,,0.0,0.0,Griff Griffitts,376340.0,0.0,376340.0,376340.0
44,Jennifer-Rita Harris,65351.22,0.0,,0.0,0.0,65351.22,65351.22
41,Bruce-H Antone,33900.0,0.0,,0.0,0.0,33900.0,33900.0
82,,0.0,0.0,Lauren-Uhlich Melo,123234.18000000001,75.12,123234.18000000001,123234.18000000001
24,,0.0,0.0,Joe Harding,172887.24000000022,150.24,172887.24000000022,172887.24000000022
71,,0.0,0.0,Will Robinson,182781.74,141.7,182781.74,182781.74
